20231221	에이엠티(주)	0	0	0	0	0	0
20240101	에이엠티(주)	0	0	0	0	0	0
20240111	에이엠티(주)	0	0	0	0	0	0
20240121	에이엠티(주)	0	0	0	0	0	0
20240201	에이엠티(주)	0	0	0	0	0	0
20240211	에이엠티(주)	0	0	0	0	0	0
20240221	에이엠티(주)	0	0	0	0	0	0
20240301	에이엠티(주)	0	0	0	0	0	0
20240311	에이엠티(주)	0	0	4	4	4	4
20240321	에이엠티(주)	0	0	4	4	4	4
20240401	에이엠티(주)	0	0	4	4	4	4
20240411	에이엠티(주)	0	0	4	4	4	4
20240421	에이엠티(주)	0	0	4	4	4	4
20240501	에이엠티(주)	0	0	4	4	4	4
20240511	에이엠티(주)	0	0	4	4	4	4
20240521	에이엠티(주)	0	0	4	4	4	4
20240601	에이엠티(주)	0	0	4	4	4	4
20240611	에이엠티(주)	0	0	4	4	4	4
20240621	에이엠티(주)	0	0	4	4	4	4
