20230905	전북무주군농어민후계	0	1	0	2	0	3
20230911	전북무주군농어민후계	0	1	0	2	0	3
20230921	전북무주군농어민후계	0	1	0	2	0	3
20231001	전북무주군농어민후계	0	1	0	1	0	2
20231011	전북무주군농어민후계	0	1	0	1	0	2
20231021	전북무주군농어민후계	0	1	0	1	0	2
20231101	전북무주군농어민후계	0	1	0	1	0	2
20231111	전북무주군농어민후계	0	1	0	1	0	2
20231121	전북무주군농어민후계	0	1	0	1	0	2
20231201	전북무주군농어민후계	0	1	0	1	0	2
20231211	전북무주군농어민후계	0	1	0	1	0	2
20231221	전북무주군농어민후계	0	1	0	1	0	2
20240101	전북무주군농어민후계	0	1	0	1	0	2
20240111	전북무주군농어민후계	0	1	0	1	0	2
20240121	전북무주군농어민후계	0	1	0	1	0	2
20240201	전북무주군농어민후계	0	1	0	1	0	2
20240211	전북무주군농어민후계	0	1	0	1	0	2
20240221	전북무주군농어민후계	0	1	0	1	0	2
20240301	전북무주군농어민후계	0	1	0	1	0	2
20240311	전북무주군농어민후계	0	1	0	1	0	2
20240321	전북무주군농어민후계	0	1	0	1	0	2
20240401	전북무주군농어민후계	0	1	0	1	0	2
20240411	전북무주군농어민후계	0	1	0	1	0	2
20240421	전북무주군농어민후계	0	1	0	1	0	2
20240501	전북무주군농어민후계	0	1	0	0	0	1
20240511	전북무주군농어민후계	0	1	0	0	0	1
20240521	전북무주군농어민후계	0	1	0	0	0	1
20240601	전북무주군농어민후계	0	1	0	0	0	1
20240611	전북무주군농어민후계	0	1	0	0	0	1
20240621	전북무주군농어민후계	0	1	0	0	0	1
